Algorithm,Board_Size,Puzzle_Index,Solution_Length,Execution_Time_ms,Nodes_Expanded,Solvable,Timeout
0,0,ABCDEFG#IJKHMNOL,2,0.014,6,true,BFS
1,0,ABCDEFGHIJ#LMNKO,2,0.023,10,true,BFS
2,0,ABCDEFGHIJKLM#NO,2,0.022,10,true,BFS
3,0,ABCDEFG#IJKHMNOL,2,0.014,6,true,BFS
4,0,ABCDEFGHIJ#KMNOL,2,0.031,15,true,BFS
5,0,ABCDEFGHIJKLM#NO,2,0.023,10,true,BFS
6,0,ABCDEFGHIJ#LMNKO,2,0.024,10,true,BFS
7,0,ABCDEFGHIJKLM#NO,2,0.024,10,true,BFS
8,0,ABCDEFG#IJKHMNOL,2,0.014,6,true,BFS
9,0,ABCDEFGHIJ#KMNOL,2,0.032,15,true,BFS
0,0,ABCDEFG#IJKHMNOL,2,0.01,3,true,A*-h1
1,0,ABCDEFGHIJ#LMNKO,2,0.015,3,true,A*-h1
2,0,ABCDEFGHIJKLM#NO,2,0.009,3,true,A*-h1
3,0,ABCDEFG#IJKHMNOL,2,0.011,3,true,A*-h1
4,0,ABCDEFGHIJ#KMNOL,2,0.01,3,true,A*-h1
5,0,ABCDEFGHIJKLM#NO,2,0.008,3,true,A*-h1
6,0,ABCDEFGHIJ#LMNKO,2,0.01,3,true,A*-h1
7,0,ABCDEFGHIJKLM#NO,2,0.011,3,true,A*-h1
8,0,ABCDEFG#IJKHMNOL,2,0.012,3,true,A*-h1
9,0,ABCDEFGHIJ#KMNOL,2,0.015,3,true,A*-h1
0,0,ABCDEFG#IJKHMNOL,2,0.01,3,true,A*-h2
1,0,ABCDEFGHIJ#LMNKO,2,0.009,3,true,A*-h2
2,0,ABCDEFGHIJKLM#NO,2,0.011,3,true,A*-h2
3,0,ABCDEFG#IJKHMNOL,2,0.011,3,true,A*-h2
4,0,ABCDEFGHIJ#KMNOL,2,0.014,3,true,A*-h2
5,0,ABCDEFGHIJKLM#NO,2,0.011,3,true,A*-h2
6,0,ABCDEFGHIJ#LMNKO,2,0.012,3,true,A*-h2
7,0,ABCDEFGHIJKLM#NO,2,0.01,3,true,A*-h2
8,0,ABCDEFG#IJKHMNOL,2,0.012,3,true,A*-h2
9,0,ABCDEFGHIJ#KMNOL,2,0.018,3,true,A*-h2
