Threads,Thread_ID,Puzzles_Assigned,Total_Time_ms,Avg_Time_per_Puzzle_ms,Total_Nodes,Load_Balance_Score
2,0,23,1575.791,68.513,802050,99.09
2,1,19,1920.432,101.075,893803,99.09
4,0,13,695.376,53.490,397654,91.00
4,1,9,964.822,107.202,478785,99.00
4,2,10,860.731,86.073,388879,100.00
4,3,10,926.259,92.626,430535,100.00
8,0,16,879.446,54.965,432576,-384.00
8,1,6,1160.166,193.361,178546,96.00
8,2,3,1284.808,428.269,209758,84.00
8,3,3,1246.802,415.601,209380,84.00
8,4,4,977.430,244.357,130350,96.00
8,5,3,521.552,173.851,62150,84.00
8,6,3,1229.639,409.880,207059,84.00
8,7,4,1332.326,333.082,266034,96.00
