puzzle_index,thread_id,solution,nodes_expanded,per_puzzle_ms,threads_used
0,0,2,6,0.007106,2
1,1,2,10,0.028738,2
2,0,2,10,0.006032,2
3,0,2,6,0.002912,2
4,0,2,15,0.007553,2
5,0,2,10,0.004791,2
6,0,2,10,0.005446,2
7,1,2,10,0.006859,2
8,0,2,6,0.002439,2
9,0,2,15,0.006783,2
10,1,4,52,0.034871,2
11,0,4,52,0.024968,2
12,0,4,40,0.019662,2
13,1,4,39,0.02246,2
14,0,4,26,0.012908,2
15,1,4,37,0.019486,2
16,0,4,44,0.02039,2
17,1,4,40,0.02283,2
18,0,4,39,0.019533,2
19,1,4,49,0.024769,2
20,0,8,730,0.363491,2
21,1,8,832,0.431773,2
22,0,8,585,0.245773,2
23,1,8,763,0.383815,2
24,0,8,743,0.389334,2
25,1,8,865,0.435231,2
26,0,8,877,0.427132,2
27,1,8,858,0.456357,2
28,0,8,1093,0.525322,2
29,1,8,617,0.314408,2
30,0,8,886,0.723726,2
31,1,12,11575,8.70469,2
32,0,14,56746,63.2389,2
33,1,14,61381,102.497,2
34,0,16,177669,276.379,2
35,1,-1,208640,405.388,2
36,0,16,129438,227.814,2
37,1,16,206195,332.021,2
38,0,-1,208871,336.062,2
39,1,-1,208640,336.674,2
40,0,-1,208693,338.539,2
41,1,-1,208640,316.905,2
